Option ID|Option Template|Combo Count|Question Count|Base Model %|Local Model %
1|Total sales TIMEFRAME_PARAMETER.|12|60|0.9166666666666666|
2|Total sales in DEPARTMENTGROUP_PARAMETER TIMEFRAME_PARAMETER.|120|480|0.0|
3|Total sales in DEPARTMENTGROUP2_PARAMETER TIMEFRAME_PARAMETER.|540|540|0.0|
4|Total sales in STORE_PARAMETER TIMEFRAME_PARAMETER.|1908|1908|0.0|
5|Total sales excluding EXCLUDE_DEPARTMENTGROUP_PARAMETER TIMEFRAME_PARAMETER.|120|480|0.7270833333333333|
6|The top performing store TIMEFRAME_PARAMETER.|12|72|0.6805555555555556|
7|The top performing store in SALES_GEOGRAPHY_PARAMETER TIMEFRAME_PARAMETER.|132|132|0.44696969696969696|
1|The departments in STORE_TOP10_PARAMETER with a positive net gain in sales this week compared to the same week last year.|13|13||
2|The departments in STORE_TOP10_PARAMETER with a negative net gain in sales this week compared to the same week last year.|13|13||
3|The department in STORE_TOP10_PARAMETER with the largest net gain in sales this week compared to the same week last year.|13|13||
4|The department in STORE_TOP10_PARAMETER with the smallest net gain in Sales this week compared to the same week last year.|13|13||
5|The departments in STORE_TOP10_PARAMETER with a positive net gain in sales this week compared to the same week last year excluding pharmacy.|13|13||
6|The departments in STORE_TOP10_PARAMETER with a negative net gain in sales this week compared to the same week last year excluding pharmacy.|13|13||
7|The department in STORE_TOP10_PARAMETER with the largest net gain in sales this week compared to the same week last year excluding pharmacy.|13|13||
8|The department in STORE_TOP10_PARAMETER with the smallest net gain in Sales this week compared to the same week last year excluding pharmacy.|13|13||
9|The departments in STORE_TOP10_PARAMETER  with a positive net gain in sales this year compared to last year.|13|13||
10|The departments in STORE_TOP10_PARAMETER with a negative net gain in sales this year compared to last year.|13|13||
11|The department in STORE_TOP10_PARAMETER  with the largest net gain in sales this year compared to last year.|13|13||
12|The department in STORE_TOP10_PARAMETER with the smallest net gain in sales this year compared to last year.|13|13||
13|The departments in STORE_TOP10_PARAMETER  with a positive net gain in sales this year compared to last year excluding pharmacy.|13|13||
14|The departments in STORE_TOP10_PARAMETER with a negative net gain in sales this year compared to last year excluding pharmacy.|13|13||
15|The department in STORE_TOP10_PARAMETER  with the largest net gain in sales this year compared to last year excluding pharmacy.|13|13||
